date,arrival_time,company,truck_id,waste_type,quantity_tons,quality_score,moisture_content,contamination_level,heating_value_MJ_per_kg
2022-01-01,2022-01-01 06:27:00,RegionalWaste Management,Reg3,Municipal,11.4860504475829,7.929558948089178,37.49320862093019,2.070441051910822,7.263228824653793
2022-01-01,2022-01-01 06:32:00,RegionalWaste Management,Reg1,Industrial,19.85509059161663,6.86888783551314,18.746604310465095,3.1311121644868596,11.807503893899932
2022-01-01,2022-01-01 09:58:00,GreenWaste Solutions,Gre2,Organic,3.8359480260698455,6.364174431311939,74.98641724186038,3.6358255686880607,2.5396451651994694
2022-01-01,2022-01-01 10:06:00,IndustrialProcess Ltd,Ind1,Industrial,41.56543357489131,8.821310536059956,18.746604310465095,1.178689463940044,12.570800027332151
2022-01-01,2022-01-01 10:14:00,GreenWaste Solutions,Gre1,Municipal,4.89507531160082,6.149050420516668,37.49320862093019,3.8509495794833324,6.849567774243197
2022-01-01,2022-01-01 10:58:00,IndustrialProcess Ltd,Ind2,Industrial,39.41007359291838,8.032379936153884,18.746604310465095,1.967620063846116,12.262369032196718
2022-01-01,2022-01-01 14:33:00,BuildRight Construction,Bui1,Construction,12.316679872015856,5.296439596884246,22.495925172558113,4.703560403115754,5.789136077615772
2022-01-01,2022-01-01 14:57:00,RegionalWaste Management,Reg2,Commercial,20.48715193740957,5.962899819395149,24.99547241395346,4.037100180604851,8.701315502225784
2022-01-02,2022-01-02 07:09:00,IndustrialProcess Ltd,Ind1,Industrial,29.37390286547503,9.197726653564661,18.339785263056495,0.8022733464353387,12.759647132305245
2022-01-02,2022-01-02 09:22:00,CommercialServices Inc,Com4,Commercial,15.368227994768091,6.675287104483825,24.453047017408657,3.324712895516175,8.953921797250523
2022-01-02,2022-01-02 10:04:00,CommercialServices Inc,Com1,Commercial,13.75555192644442,5.97913443862845,24.453047017408657,4.02086556137155,8.746204933293617
2022-01-02,2022-01-02 11:27:00,BuildRight Construction,Bui2,Construction,10.149183321203402,5.078181781688419,22.00774231566779,4.921818218311581,5.768304477810733
2022-01-02,2022-01-02 11:29:00,BuildRight Construction,Bui1,Industrial,24.947005830710193,6.784960728790994,18.339785263056495,3.2150392712090063,11.813288734350756
2022-01-02,2022-01-02 13:45:00,IndustrialProcess Ltd,Ind3,Industrial,39.81963954416274,8.63464904459742,18.339785263056495,1.3653509554025796,12.538791383939904
2022-01-02,2022-01-02 13:54:00,IndustrialProcess Ltd,Ind2,Commercial,48.4132470152222,8.478264062935938,24.453047017408657,1.5217359370640615,9.491891035845722
